rank,skill_name,owner_repo,installs,page_url,category
,byted-web-search,kotot/byted-web-search,,https://skills.sh/kotot/byted-web-search/byted-web-search,hot
,vision,kotot/vision,,https://skills.sh/kotot/vision/vision,hot
,byted-ark-seedream-skill,kotot/byted-ark-seedream-skill,,https://skills.sh/kotot/byted-ark-seedream-skill/byted-ark-seedream-skill,hot
,golang-performance,samber/cc-skills-golang,,https://skills.sh/samber/cc-skills-golang/golang-performance,hot
,insforge-integrations,insforge/insforge-skills,,https://skills.sh/insforge/insforge-skills/insforge-integrations,hot
,golang-stay-updated,samber/cc-skills-golang,,https://skills.sh/samber/cc-skills-golang/golang-stay-updated,hot
,shopify,shopify/shopify-ai-toolkit,,https://skills.sh/shopify/shopify-ai-toolkit/shopify,hot
,brag-slim,latent-spaces/brag,,https://skills.sh/latent-spaces/brag/brag-slim,hot
,apple-design,dickwu/apple-design-skill,,https://skills.sh/dickwu/apple-design-skill/apple-design,hot
,performance,addyosmani/web-quality-skills,,https://skills.sh/addyosmani/web-quality-skills/performance,hot
,firecrawl-research-index,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-research-index,hot
,arch-tsdown-monorepo,hairyf/skills,,https://skills.sh/hairyf/skills/arch-tsdown-monorepo,hot
,knitwork-x,hairyf/knitwork-x,,https://skills.sh/hairyf/knitwork-x/knitwork-x,hot
,vitest,hairyf/skills,,https://skills.sh/hairyf/skills/vitest,hot
,archify-review,tt-a1i/archify,,https://skills.sh/tt-a1i/archify/archify-review,hot
,decision-records,skymavis/skills,,https://skills.sh/skymavis/skills/decision-records,hot
,core-web-vitals,addyosmani/web-quality-skills,,https://skills.sh/addyosmani/web-quality-skills/core-web-vitals,hot
,create-payment-credential,stripe/link-cli,,https://skills.sh/stripe/link-cli/create-payment-credential,hot
,firecrawl-parse,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl-parse,hot
,firecrawl-download,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl-download,hot
,financial-insights,stripe/link-cli,,https://skills.sh/stripe/link-cli/financial-insights,hot
,firecrawl-map,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl-map,hot
,email-and-password-best-practices,better-auth/skills,,https://skills.sh/better-auth/skills/email-and-password-best-practices,hot
,dbs,dontbesilent2025/dbskill,,https://skills.sh/dontbesilent2025/dbskill/dbs,hot
,firecrawl-dashboard-reporting,firecrawl/firecrawl-workflows,,https://skills.sh/firecrawl/firecrawl-workflows/firecrawl-dashboard-reporting,hot
,firecrawl-build-interact,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-build-interact,hot
,firecrawl-company-directories,firecrawl/firecrawl-workflows,,https://skills.sh/firecrawl/firecrawl-workflows/firecrawl-company-directories,hot
,firecrawl-lead-gen,firecrawl/firecrawl-workflows,,https://skills.sh/firecrawl/firecrawl-workflows/firecrawl-lead-gen,hot
,firecrawl-build-onboarding,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-build-onboarding,hot
,firecrawl-deep-research,firecrawl/firecrawl-workflows,,https://skills.sh/firecrawl/firecrawl-workflows/firecrawl-deep-research,hot
,firecrawl-agent,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-agent,hot
,nextjs-react-typescript,mindrally/skills,,https://skills.sh/mindrally/skills/nextjs-react-typescript,hot
,un-editorial-check,ahaomar/un-editorial-check,,https://skills.sh/ahaomar/un-editorial-check/un-editorial-check,hot
,html-prototype,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/html-prototype,hot
,diagnose,mattpocock/skills,,https://skills.sh/mattpocock/skills/diagnose,hot
,firecrawl-crawl,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-crawl,hot
,html,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/html,hot
,firecrawl-parse,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-parse,hot
,html-wireframe,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/html-wireframe,hot
,html-plan,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/html-plan,hot
,firecrawl-scrape,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-scrape,hot
,firecrawl-map,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-map,hot
,site-specification,cline/skills,,https://skills.sh/cline/skills/site-specification,hot
,write-a-skill,mattpocock/skills,,https://skills.sh/mattpocock/skills/write-a-skill,hot
,design-artifact,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/design-artifact,hot
,firecrawl-download,firecrawl/skills,,https://skills.sh/firecrawl/skills/firecrawl-download,hot
,ultracite,haydenbleasel/ultracite,,https://skills.sh/haydenbleasel/ultracite/ultracite,hot
,html-diagram,plannotator/effective-html,,https://skills.sh/plannotator/effective-html/html-diagram,hot
,expo-native-ui,expo/skills,,https://skills.sh/expo/skills/expo-native-ui,hot
,better-auth-security-best-practices,better-auth/skills,,https://skills.sh/better-auth/skills/better-auth-security-best-practices,hot
,react,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/react,hot
,core,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/core,hot
,firecrawl-scrape,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl-scrape,hot
,nature-citation,yuan1z0825/nature-skills,,https://skills.sh/yuan1z0825/nature-skills/nature-citation,hot
,web-quality-audit,addyosmani/web-quality-skills,,https://skills.sh/addyosmani/web-quality-skills/web-quality-audit,hot
,nature-academic-search,yuan1z0825/nature-skills,,https://skills.sh/yuan1z0825/nature-skills/nature-academic-search,hot
,firecrawl-agent,firecrawl/cli,,https://skills.sh/firecrawl/cli/firecrawl-agent,hot
,nature-writing,yuan1z0825/nature-skills,,https://skills.sh/yuan1z0825/nature-skills/nature-writing,hot
,best-practices,addyosmani/web-quality-skills,,https://skills.sh/addyosmani/web-quality-skills/best-practices,hot
,firecrawl-research-papers,firecrawl/firecrawl-workflows,,https://skills.sh/firecrawl/firecrawl-workflows/firecrawl-research-papers,hot
,codegen,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/codegen,hot
,directives,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/directives,hot
,devtools,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/devtools,hot
,skill-creator,cline/skills,,https://skills.sh/cline/skills/skill-creator,hot
,next,vercel-labs/json-render,,https://skills.sh/vercel-labs/json-render/next,hot
,dbs-learning,dontbesilent2025/dbskill,,https://skills.sh/dontbesilent2025/dbskill/dbs-learning,hot
,security-threat-model,openai/skills,,https://skills.sh/openai/skills/security-threat-model,hot
,dbs-save,dontbesilent2025/dbskill,,https://skills.sh/dontbesilent2025/dbskill/dbs-save,hot
,dbs-resonate,dontbesilent2025/dbskill,,https://skills.sh/dontbesilent2025/dbskill/dbs-resonate,hot
,dbs-agent-migration,dontbesilent2025/dbskill,,https://skills.sh/dontbesilent2025/dbskill/dbs-agent-migration,hot
